Timestamp,Category,Viewers,Tags,Image_URL
2025-02-24 12:00:26,Minecraft,18600,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-24 12:00:26,Sports,16300,IRL,https://static-cdn.jtvnw.net/ttv-boxart/518203-285x380.jpg
2025-02-24 12:00:26,EA Sports FC 25,15400,"Simulation, Sports Game",https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-285x380.jpg
2025-02-24 12:00:27,IRL,14100,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 12:00:27,Street Fighter 6,14200,"Fighting, Arcade, Action",https://static-cdn.jtvnw.net/ttv-boxart/55453844_IGDB-285x380.jpg
2025-02-24 12:00:27,PUBG: BATTLEGROUNDS,12800,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/493057-285x380.jpg
2025-02-24 12:00:27,Dead by Daylight,10900,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-24 12:00:27,Mining Mechs,10800,"Platformer, Puzzle",https://static-cdn.jtvnw.net/ttv-boxart/45326926_IGDB-285x380.jpg
2025-02-24 12:00:27,Like a Dragon: Pirate Yakuza in Hawaii,10700,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/1993079020_IGDB-285x380.jpg
2025-02-24 12:00:27,Delta Force,10400,"FPS, Shooter, MMO",https://static-cdn.jtvnw.net/ttv-boxart/1282866981_IGDB-285x380.jpg
2025-02-24 12:00:27,ELDEN RING,10400,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-285x380.jpg
2025-02-24 12:00:28,Getting Over It with Bennett Foddy,9900,"Platformer, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/499463_IGDB-285x380.jpg
2025-02-24 12:02:58,Just Chatting,234000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-24 12:02:59,VALORANT,172000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-24 12:02:59,Dota 2,135000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-24 12:02:59,League of Legends,96500,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-24 12:02:59,Overwatch 2,71300,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-24 12:02:59,Counter-Strike,62800,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-24 12:02:59,Teamfight Tactics,62300,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-24 12:02:59,Grand Theft Auto V,44700,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-24 12:02:59,I'm Only Sleeping,42300,Point and Click,https://static-cdn.jtvnw.net/ttv-boxart/498592_IGDB-285x380.jpg
2025-02-24 12:02:59,World of Warcraft,30900,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-24 12:03:00,Fortnite,29200,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-24 12:03:00,Marvel Rivals,27800,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
2025-02-24 12:03:00,Apex Legends,27300,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/511224-285x380.jpg
2025-02-24 12:03:00,Call of Duty: Warzone,20500,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/512710-285x380.jpg
2025-02-24 12:03:00,Escape from Tarkov,20600,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/491931_IGDB-285x380.jpg
2025-02-24 12:03:00,Path of Exile,19900,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-285x380.jpg
2025-02-24 12:03:00,Hearthstone,19800,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/138585-285x380.jpg
2025-02-24 12:03:00,One Piece: Bounty Rush,19700,No Tags,https://static-cdn.jtvnw.net/ttv-boxart/344321433_IGDB-285x380.jpg
2025-02-24 12:03:00,Minecraft,19300,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-24 12:03:01,Sports,17000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/518203-285x380.jpg
2025-02-24 12:03:01,EA Sports FC 25,15600,"Simulation, Sports Game",https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-285x380.jpg
2025-02-24 12:03:01,Street Fighter 6,14300,"Fighting, Arcade, Action",https://static-cdn.jtvnw.net/ttv-boxart/55453844_IGDB-285x380.jpg
2025-02-24 12:03:01,IRL,13900,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 12:03:01,PUBG: BATTLEGROUNDS,12900,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/493057-285x380.jpg
2025-02-24 12:03:01,Dead by Daylight,11000,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-24 12:03:01,Like a Dragon: Pirate Yakuza in Hawaii,10900,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/1993079020_IGDB-285x380.jpg
2025-02-24 12:03:01,ELDEN RING,10600,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-285x380.jpg
2025-02-24 12:03:01,Delta Force,10600,"FPS, Shooter, MMO",https://static-cdn.jtvnw.net/ttv-boxart/1282866981_IGDB-285x380.jpg
2025-02-24 12:03:02,Mining Mechs,10700,"Platformer, Puzzle",https://static-cdn.jtvnw.net/ttv-boxart/45326926_IGDB-285x380.jpg
